WineID,RegionID,WineryID,HarmonizeID
100001,1001,10001,1000001
100001,1001,10001,1000002
100001,1001,10001,1000003
100002,1001,10001,1000004
100002,1001,10001,1000005
100002,1001,10001,1000006
100002,1001,10001,1000007
100002,1001,10001,1000008
100002,1001,10001,1000009
100003,1001,10002,1000004
100003,1001,10002,1000010
100003,1001,10002,1000011
100005,1001,10000,1000004
100005,1001,10000,1000010
100005,1001,10000,1000011
100005,1001,10000,1000012
100007,1001,10012,1000001
100007,1001,10012,1000002
100007,1001,10012,1000003
100008,1001,10011,1000004
100008,1001,10011,1000010
100008,1001,10011,1000011
100010,1038,12039,1000004
100010,1038,12039,1000010
100010,1038,12039,1000011
100010,1038,12039,1000013
100012,1034,12474,1000003
100012,1034,12474,1000014
100012,1034,12474,1000015
100012,1034,12474,1000016
100013,1031,10674,1000004
100013,1031,10674,1000017
100013,1031,10674,1000018
100014,1031,10674,1000004
100014,1031,10674,1000017
100014,1031,10674,1000018
100016,1001,10010,1000004
100016,1001,10010,1000010
100016,1001,10010,1000011
100016,1001,10010,1000012
100016,1001,10010,1000019
100017,1001,10000,1000015
100017,1001,10000,1000016
100017,1001,10000,1000020
100018,1001,10025,1000004
100018,1001,10025,1000010
100018,1001,10025,1000011
100019,1002,10020,1000004
100019,1002,10020,1000010
100019,1002,10020,1000013
100019,1002,10020,1000017
100019,1002,10020,1000018
100019,1002,10020,1000021
100021,1002,10426,1000004
100021,1002,10426,1000010
100021,1002,10426,1000013
100022,1001,10022,1000001
100022,1001,10022,1000002
100022,1001,10022,1000003
100025,1001,10001,1000001
100025,1001,10001,1000002
100025,1001,10001,1000003
100046,1027,10559,1000004
100046,1027,10559,1000010
100046,1027,10559,1000011
100046,1027,10559,1000012
104005,1039,12346,1000001
104005,1039,12346,1000003
104005,1039,12346,1000007
104005,1039,12346,1000022
100049,1002,10013,1000004
100049,1002,10013,1000010
100049,1002,10013,1000011
100049,1002,10013,1000012
100052,1001,10000,1000004
100052,1001,10000,1000007
100052,1001,10000,1000010
100052,1001,10000,1000023
100055,1001,10000,1000004
100055,1001,10000,1000010
100055,1001,10000,1000011
100056,1001,10011,1000001
100056,1001,10011,1000002
100056,1001,10011,1000003
100060,1004,10013,1000004
100061,1001,10010,1000001
100061,1001,10010,1000002
100061,1001,10010,1000003
100062,1002,10014,1000004
100062,1002,10014,1000007
100062,1002,10014,1000008
100062,1002,10014,1000010
100062,1002,10014,1000013
100062,1002,10014,1000024
100063,1004,10013,1000004
100063,1004,10013,1000017
100063,1004,10013,1000018
100064,1001,10051,1000001
100064,1001,10051,1000002
100064,1001,10051,1000003
100067,1001,10014,1000001
100067,1001,10014,1000002
100067,1001,10014,1000003
100073,1001,10011,1000001
100073,1001,10011,1000002
100073,1001,10011,1000003
100080,1002,10020,1000004
100080,1002,10020,1000007
100080,1002,10020,1000010
100080,1002,10020,1000011
100080,1002,10020,1000013
100086,1004,10013,1000001
100086,1004,10013,1000002
100086,1004,10013,1000011
100086,1004,10013,1000014
100088,1001,10001,1000002
100088,1001,10001,1000003
100088,1001,10001,1000016
100088,1001,10001,1000025
100092,1001,10412,1000001
100092,1001,10412,1000002
100092,1001,10412,1000003
100097,1010,10013,1000001
100097,1010,10013,1000002
100097,1010,10013,1000003
100108,1001,10000,1000015
100108,1001,10000,1000016
100108,1001,10000,1000020
100114,1023,10569,1000004
100114,1023,10569,1000010
100114,1023,10569,1000011
100114,1023,10569,1000012
102392,1048,12674,1000004
102392,1048,12674,1000017
102392,1048,12674,1000018
100120,1001,10000,1000004
100120,1001,10000,1000010
100120,1001,10000,1000011
100125,1001,10051,1000001
100125,1001,10051,1000002
100125,1001,10051,1000003
100129,1002,10020,1000001
100129,1002,10020,1000002
100129,1002,10020,1000011
100129,1002,10020,1000012
100129,1002,10020,1000013
100135,1001,10412,1000001
100135,1001,10412,1000002
100135,1001,10412,1000003
100191,1001,10000,1000002
100191,1001,10000,1000011
100191,1001,10000,1000014
100191,1001,10000,1000026
100191,1001,10000,1000027
100207,1004,10029,1000004
100207,1004,10029,1000010
100207,1004,10029,1000011
100207,1004,10029,1000012
100207,1004,10029,1000017
100207,1004,10029,1000018
100207,1004,10029,1000019
100305,1002,10426,1000001
100305,1002,10426,1000002
100305,1002,10426,1000003
100523,1001,10011,1000001
100523,1001,10011,1000002
100523,1001,10011,1000003
100556,1000,10152,1000009
100556,1000,10152,1000011
100556,1000,10152,1000028
100556,1000,10152,1000029
100556,1000,10152,1000030
100565,1001,10000,1000002
100565,1001,10000,1000007
100565,1001,10000,1000011
100565,1001,10000,1000014
100565,1001,10000,1000026
100841,1001,10000,1000004
100841,1001,10000,1000010
100841,1001,10000,1000011
100841,1001,10000,1000019
101008,1001,10153,1000007
101008,1001,10153,1000009
101008,1001,10153,1000031
101052,1763,57156,1000003
101052,1763,57156,1000015
101052,1763,57156,1000016
101052,1763,57156,1000022
101154,1001,10329,1000004
101154,1001,10329,1000010
101154,1001,10329,1000011
101154,1001,10329,1000028
101154,1001,10329,1000032
101213,1001,10329,1000004
101213,1001,10329,1000010
101213,1001,10329,1000011
101213,1001,10329,1000028
101213,1001,10329,1000032
101424,1002,10014,1000004
101424,1002,10014,1000012
101539,1001,10000,1000020
101563,1039,12039,1000004
101563,1039,12039,1000010
101563,1039,12039,1000011
101563,1039,12039,1000013
101566,1038,12039,1000004
101566,1038,12039,1000010
101566,1038,12039,1000011
101566,1038,12039,1000013
101567,1035,11644,1000004
101567,1035,11644,1000007
101567,1035,11644,1000011
101567,1035,11644,1000013
101570,1032,10892,1000004
101570,1032,10892,1000007
101570,1032,10892,1000010
101570,1032,10892,1000012
101576,1073,13189,1000004
101576,1073,13189,1000010
101576,1073,13189,1000011
101576,1073,13189,1000012
101584,1032,10997,1000004
101584,1032,10997,1000007
101584,1032,10997,1000010
101584,1032,10997,1000012
101586,1032,11353,1000001
101586,1032,11353,1000004
101592,1032,11074,1000004
101592,1032,11074,1000007
101592,1032,11074,1000010
101592,1032,11074,1000012
101595,1038,12069,1000004
101595,1038,12069,1000010
101595,1038,12069,1000011
101595,1038,12069,1000013
101610,1031,10665,1000004
101610,1031,10665,1000020
101610,1031,10665,1000023
101617,1052,10734,1000004
101617,1052,10734,1000007
101617,1052,10734,1000010
101617,1052,10734,1000012
101632,1034,11568,1000003
101632,1034,11568,1000014
101632,1034,11568,1000015
101632,1034,11568,1000016
101635,1040,11477,1000003
101635,1040,11477,1000014
101635,1040,11477,1000015
101635,1040,11477,1000016
101644,1032,10726,1000004
101644,1032,10726,1000007
101644,1032,10726,1000010
101644,1032,10726,1000012
101651,1038,12090,1000004
101651,1038,12090,1000010
101651,1038,12090,1000011
101651,1038,12090,1000013
101660,1031,10665,1000004
101660,1031,10665,1000017
101660,1031,10665,1000018
101677,1032,11321,1000004
101677,1032,11321,1000007
101677,1032,11321,1000010
101677,1032,11321,1000012
101678,1032,11321,1000004
101678,1032,11321,1000007
101678,1032,11321,1000010
101678,1032,11321,1000012
101693,1032,11074,1000004
101693,1032,11074,1000007
101693,1032,11074,1000010
101693,1032,11074,1000012
101701,1038,12097,1000004
101701,1038,12097,1000010
101701,1038,12097,1000011
101701,1038,12097,1000013
101713,1039,12222,1000004
101713,1039,12222,1000010
101713,1039,12222,1000011
101713,1039,12222,1000013
101783,1046,12724,1000004
101783,1046,12724,1000010
101783,1046,12724,1000011
101783,1046,12724,1000012
101847,1031,10674,1000015
101847,1031,10674,1000020
101847,1031,10674,1000033
101874,1031,10699,1000004
101874,1031,10699,1000007
101874,1031,10699,1000010
101874,1031,10699,1000012
101970,1034,11535,1000004
101970,1034,11535,1000010
101970,1034,11535,1000011
101970,1034,11535,1000012
102051,1034,11477,1000003
102051,1034,11477,1000014
102051,1034,11477,1000015
102051,1034,11477,1000016
102055,1031,10703,1000020
102055,1031,10703,1000023
102055,1031,10703,1000029
102055,1031,10703,1000034
102079,1034,11486,1000003
102079,1034,11486,1000014
102079,1034,11486,1000015
102079,1034,11486,1000016
102079,1034,11486,1000030
102126,1035,11764,1000004
102126,1035,11764,1000007
102126,1035,11764,1000011
102126,1035,11764,1000013
102280,1034,12473,1000003
102280,1034,12473,1000014
102280,1034,12473,1000015
102280,1034,12473,1000016
102292,1038,12069,1000004
102292,1038,12069,1000010
102292,1038,12069,1000017
102292,1038,12069,1000018
102292,1038,12069,1000019
102304,1031,10693,1000020
102304,1031,10693,1000023
102304,1031,10693,1000035
102341,1031,10736,1000020
102341,1031,10736,1000023
102341,1031,10736,1000029
102341,1031,10736,1000034
102448,1031,10728,1000004
102448,1031,10728,1000017
